Instance,Temps(s),Resultat
sgp_15_5_3_1.dzn,.094180351,"Semaine 1: 13..15 10..12 7..9 4..6 1..3  ----------"
sgp_15_5_3_2.dzn,.085952042,"Semaine 1: {9,11,14} {6,10,13} {3,12,15} {2,5,8} {1,4,7}  Semaine 2: 13..15 10..12 7..9 4..6 1..3  ----------"
sgp_15_5_3_3.dzn,.084886580,"Semaine 1: {8,12,13} {7,11,15} {3,6,14} {2,4,10} {1,5,9}  Semaine 2: {9,11,14} {6,10,13} {3,12,15} {2,5,8} {1,4,7}  Semaine 3: 13..15 10..12 7..9 4..6 1..3  ----------"
sgp_15_5_3_4.dzn,.087114143,"Semaine 1: {5,10,14} {4,9,15} {3,11,13} {2,7,12} {1,6,8}  Semaine 2: {8,12,13} {7,11,15} {3,6,14} {2,4,10} {1,5,9}  Semaine 3: {9,11,14} {6,10,13} {3,12,15} {2,5,8} {1,4,7}  Semaine 4: 13..15 10..12 7..9 4..6 1..3  ----------"
sgp_15_5_3_5.dzn,.091096783,"Semaine 1: {5,7,14} {4,12,13} {3,8,11} {2,6,9} {1,10,15}  Semaine 2: {5,11,13} {4,9,15} {3,10,14} {2,7,12} {1,6,8}  Semaine 3: {8,12,14} {7,11,15} {3,6,13} {2,4,10} {1,5,9}  Semaine 4: {9,10,13} {6,11,14} {3,12,15} {2,5,8} {1,4,7}  Semaine 5: 13..15 10..12 7..9 4..6 1..3  ----------"
sgp_15_5_3_6.dzn,100.003748726,TIMEOUT
sgp_15_5_3_7.dzn,100.003671925,TIMEOUT
sgp_24_6_4_1.dzn,.090286413,"Semaine 1: 21..24 17..20 13..16 9..12 5..8 1..4  ----------"
sgp_24_6_4_2.dzn,.145940275,"Semaine 1: {11,15,17,21} {4,8,19,23} {12,16,18,22} {3,7,20,24} {2,6,10,14} {1,5,9,13}  Semaine 2: 21..24 17..20 13..16 9..12 5..8 1..4  ----------"
sgp_24_6_4_3.dzn,.264432473,"Semaine 1: {10,13,20,23} {9,14,19,24} {4,7,17,22} {3,8,18,21} {2,5,12,15} {1,6,11,16}  Semaine 2: {11,15,17,21} {4,8,19,23} {12,16,18,22} {3,7,20,24} {2,6,10,14} {1,5,9,13}  Semaine 3: 21..24 17..20 13..16 9..12 5..8 1..4  ----------"
sgp_24_6_4_4.dzn,.387590540,"Semaine 1: {12,14,20,21} {11,13,19,22} {4,6,18,24} {3,5,17,23} {2,8,9,16} {1,7,10,15}  Semaine 2: {10,13,20,23} {9,14,19,24} {4,7,17,22} {3,8,18,21} {2,5,12,15} {1,6,11,16}  Semaine 3: {4,8,19,23} {12,16,18,22} {11,15,17,21} {3,7,20,24} {2,6,10,14} {1,5,9,13}  Semaine 4: 21..24 17..20 13..16 9..12 5..8 1..4  ----------"
sgp_24_6_4_5.dzn,8.010858247,"Semaine 1: {12,13,17,24} {4,5,10,16} {3,6,9,15} {2,7,19,21} {11,14,18,23} {1,8,20,22}  Semaine 2: {12,14,20,21} {11,13,19,22} {4,6,18,24} {3,5,17,23} {2,8,9,16} {1,7,10,15}  Semaine 3: {10,13,20,23} {9,14,19,24} {4,7,17,22} {3,8,18,21} {2,5,12,15} {1,6,11,16}  Semaine 4: {11,15,17,21} {4,8,19,23} {12,16,18,22} {3,7,20,24} {2,6,10,14} {1,5,9,13}  Semaine 5: 21..24 17..20 13..16 9..12 5..8 1..4  ----------"
sgp_24_6_4_6.dzn,100.003652705,TIMEOUT
sgp_28_7_4_1.dzn,.089256423,"Semaine 1: 25..28 21..24 17..20 13..16 9..12 5..8 1..4  ----------"
sgp_28_7_4_2.dzn,.123277089,"Semaine 1: {16,17,21,25} {12,18,22,26} {8,19,23,27} {4,20,24,28} {3,7,11,15} {2,6,10,14} {1,5,9,13}  Semaine 2: 25..28 21..24 17..20 13..16 9..12 5..8 1..4  ----------"
sgp_28_7_4_3.dzn,.218803374,"Semaine 1: {13,17,22,28} {10,18,24,27} {7,20,23,25} {4,19,21,26} {3,8,9,14} {2,5,12,15} {1,6,11,16}  Semaine 2: {16,17,21,25} {12,18,22,26} {8,19,23,27} {4,20,24,28} {3,7,11,15} {2,6,10,14} {1,5,9,13}  Semaine 3: 25..28 21..24 17..20 13..16 9..12 5..8 1..4  ----------"
sgp_28_7_4_4.dzn,1.410150801,"Semaine 1: {15,20,21,27} {12,19,24,25} {4,6,9,22} {14,18,23,28} {3,5,16,26} {2,8,11,13} {1,7,10,17}  Semaine 2: {13,17,22,28} {10,18,24,27} {7,20,23,25} {4,19,21,26} {3,8,9,14} {2,5,12,15} {1,6,11,16}  Semaine 3: {16,17,21,25} {12,18,22,26} {8,19,23,27} {4,20,24,28} {3,7,11,15} {2,6,10,14} {1,5,9,13}  Semaine 4: 25..28 21..24 17..20 13..16 9..12 5..8 1..4  ----------"
sgp_28_7_4_5.dzn,30.794226837,"Semaine 1: {15,17,23,26} {11,14,22,27} {10,16,19,28} {3,6,13,21} {4,5,18,25} {2,7,9,24} {1,8,12,20}  Semaine 2: {12,19,24,25} {4,6,9,22} {14,18,23,28} {15,20,21,27} {3,5,16,26} {2,8,11,13} {1,7,10,17}  Semaine 3: {13,17,22,28} {10,18,24,27} {7,20,23,25} {4,19,21,26} {3,8,9,14} {2,5,12,15} {1,6,11,16}  Semaine 4: {16,17,21,25} {12,18,22,26} {8,19,23,27} {4,20,24,28} {3,7,11,15} {2,6,10,14} {1,5,9,13}  Semaine 5: 25..28 21..24 17..20 13..16 9..12 5..8 1..4  ----------"
sgp_28_7_4_6.dzn,100.600411442,TIMEOUT
sgp_32_8_4_1.dzn,.088370739,"Semaine 1: 29..32 25..28 21..24 17..20 13..16 9..12 5..8 1..4  ----------"
sgp_32_8_4_2.dzn,.088417385,"Semaine 1: {20,24,28,32} {19,23,27,31} {18,22,26,30} {17,21,25,29} {4,8,12,16} {3,7,11,15} {2,6,10,14} {1,5,9,13}  Semaine 2: 29..32 25..28 21..24 17..20 13..16 9..12 5..8 1..4  ----------"
sgp_32_8_4_3.dzn,.095646425,"Semaine 1: {20,23,26,29} {19,24,25,30} {18,21,28,31} {17,22,27,32} {4,7,10,13} {3,8,9,14} {2,5,12,15} {1,6,11,16}  Semaine 2: {20,24,28,32} {19,23,27,31} {18,22,26,30} {17,21,25,29} {4,8,12,16} {3,7,11,15} {2,6,10,14} {1,5,9,13}  Semaine 3: 29..32 25..28 21..24 17..20 13..16 9..12 5..8 1..4  ----------"
sgp_32_8_4_4.dzn,.097508632,"Semaine 1: {20,22,25,31} {19,21,26,32} {18,24,27,29} {17,23,28,30} {4,6,9,15} {3,5,10,16} {2,8,11,13} {1,7,12,14}  Semaine 2: {20,23,26,29} {19,24,25,30} {18,21,28,31} {17,22,27,32} {4,7,10,13} {3,8,9,14} {2,5,12,15} {1,6,11,16}  Semaine 3: {20,24,28,32} {19,23,27,31} {18,22,26,30} {17,21,25,29} {4,8,12,16} {3,7,11,15} {2,6,10,14} {1,5,9,13}  Semaine 4: 29..32 25..28 21..24 17..20 13..16 9..12 5..8 1..4  ----------"
