Instance,Temps(s),Resultat
sgp_15_5_3_1.dzn,.092955403,"Semaine 1: {1,14,15} 11..13 8..10 5..7 2..4  ----------"
sgp_15_5_3_2.dzn,.160824772,"Semaine 1: {1,14,15} 11..13 {6,9,10} 3..5 {2,7,8}  Semaine 2: {1,10,13} {3,12,15} {7,11,14} {2,4,6} {5,8,9}  ----------"
sgp_15_5_3_3.dzn,12.181819056,"Semaine 1: {1,14,15} 11..13 {7,9,10} {3,5,6} {2,4,8}  Semaine 2: {1,10,13} {6,12,15} {8,11,14} {3,4,7} {2,5,9}  Semaine 3: {1,3,12} {2,13,15} {6,10,14} {4,9,11} {5,7,8}  ----------"
sgp_15_5_3_4.dzn,98.827366717,"Semaine 1: {1,14,15} 11..13 8..10 {4,5,7} {2,3,6}  Semaine 2: {1,10,13} {4,12,15} {3,11,14} {5,6,8} {2,7,9}  Semaine 3: {1,5,12} {2,13,15} {4,10,14} {6,9,11} {3,7,8}  Semaine 4: {1,4,11} {6,10,15} {7,13,14} {2,8,12} {3,5,9}  ----------"
sgp_15_5_3_5.dzn,100.003523034,TIMEOUT
sgp_15_5_3_6.dzn,100.004192623,TIMEOUT
sgp_15_5_3_7.dzn,100.003714253,TIMEOUT
sgp_24_6_4_1.dzn,.118828876,"Semaine 1: {1,22,23,24} 18..21 14..17 10..13 6..9 2..5  ----------"
sgp_24_6_4_2.dzn,100.003663540,TIMEOUT
sgp_24_6_4_3.dzn,100.003529980,TIMEOUT
sgp_24_6_4_4.dzn,100.004551753,TIMEOUT
sgp_24_6_4_5.dzn,100.003698662,TIMEOUT
sgp_24_6_4_6.dzn,100.003727929,TIMEOUT
sgp_28_7_4_1.dzn,.105429820,"Semaine 1: {1,26,27,28} 22..25 18..21 14..17 10..13 6..9 2..5  ----------"
sgp_28_7_4_2.dzn,100.004205737,TIMEOUT
sgp_28_7_4_3.dzn,100.004032500,TIMEOUT
sgp_28_7_4_4.dzn,100.004248430,TIMEOUT
sgp_28_7_4_5.dzn,100.003880690,TIMEOUT
sgp_28_7_4_6.dzn,100.004381119,TIMEOUT
sgp_32_8_4_1.dzn,.109334022,"Semaine 1: {1,30,31,32} 26..29 22..25 18..21 14..17 10..13 6..9 2..5  ----------"
sgp_32_8_4_2.dzn,.117731675,"Semaine 1: {1,30,31,32} 26..29 22..25 18..21 14..17 10..13 6..9 2..5  Semaine 2: {1,21,25,29} {20,24,28,32} {19,23,27,31} {18,22,26,30} {5,9,13,17} {4,8,12,16} {3,7,11,15} {2,6,10,14}  ----------"
