Instance,Temps(s),Resultat
sgp_15_5_3_1.dzn,.097752024,"Semaine 1: 1..3 4..6 7..9 10..12 13..15  ----------"
sgp_15_5_3_2.dzn,.101355932,"Semaine 1: 1..3 4..6 7..9 10..12 13..15  Semaine 2: {1,12,15} {3,5,14} {2,8,13} {4,7,11} {6,9,10}  ----------"
sgp_15_5_3_3.dzn,.176031528,"Semaine 1: 1..3 4..6 7..9 10..12 13..15  Semaine 2: {1,12,15} {3,5,14} {2,8,13} {4,9,10} {6,7,11}  Semaine 3: {1,4,14} {3,7,15} {2,5,12} {9,11,13} {6,8,10}  ----------"
sgp_15_5_3_4.dzn,.461655655,"Semaine 1: 1..3 4..6 7..9 10..12 13..15  Semaine 2: {1,12,15} {3,7,14} {2,4,13} {6,8,10} {5,9,11}  Semaine 3: {1,8,14} {3,5,15} {2,7,12} {6,11,13} {4,9,10}  Semaine 4: {1,7,13} {3,6,12} {2,9,15} {5,10,14} {4,8,11}  ----------"
sgp_15_5_3_5.dzn,.910620047,"Semaine 1: 1..3 4..6 7..9 10..12 13..15  Semaine 2: {1,12,15} {3,7,14} {2,6,13} {4,8,10} {5,9,11}  Semaine 3: {1,8,14} {3,5,15} {2,7,12} {4,11,13} {6,9,10}  Semaine 4: {1,7,13} {3,9,12} {2,4,15} {5,10,14} {6,8,11}  Semaine 5: {1,4,9} {3,10,13} {2,11,14} {6,7,15} {5,8,12}  ----------"
sgp_15_5_3_6.dzn,1.437455547,"Semaine 1: 1..3 4..6 7..9 10..12 13..15  Semaine 2: {1,12,15} {3,6,14} {2,7,13} {4,8,10} {5,9,11}  Semaine 3: {1,8,14} {3,9,15} {2,6,12} {4,11,13} {5,7,10}  Semaine 4: {1,5,13} {3,8,12} {2,4,15} {7,11,14} {6,9,10}  Semaine 5: {1,6,11} {3,4,7} {2,10,14} {5,8,15} {9,12,13}  Semaine 6: {1,4,9} {3,10,13} {2,8,11} {6,7,15} {5,12,14}  ----------"
sgp_15_5_3_7.dzn,1.595087155,"Semaine 1: 1..3 4..6 7..9 10..12 13..15  Semaine 2: {1,12,15} {3,8,14} {2,6,13} {5,7,11} {4,9,10}  Semaine 3: {1,4,14} {3,5,15} {2,7,10} {9,11,13} {6,8,12}  Semaine 4: {1,6,7} {3,9,12} {2,11,15} {5,10,14} {4,8,13}  Semaine 5: {1,8,11} {3,6,10} {2,9,14} {4,7,15} {5,12,13}  Semaine 6: {1,10,13} {3,4,11} {2,5,8} {6,9,15} {7,12,14}  Semaine 7: {1,5,9} {3,7,13} {2,4,12} {8,10,15} {6,11,14}  ----------"
sgp_24_6_4_1.dzn,.106527699,"Semaine 1: 1..4 5..8 9..12 13..16 17..20 21..24  ----------"
sgp_24_6_4_2.dzn,3.312996094,"Semaine 1: 1..4 5..8 9..12 13..16 17..20 21..24  Semaine 2: {1,10,20,24} {4,11,19,23} {3,7,15,22} {2,8,14,21} {5,9,16,17} {6,12,13,18}  ----------"
sgp_24_6_4_3.dzn,100.003920943,TIMEOUT
sgp_24_6_4_4.dzn,100.004055841,TIMEOUT
sgp_24_6_4_5.dzn,100.004274805,TIMEOUT
sgp_24_6_4_6.dzn,100.004322556,TIMEOUT
sgp_28_7_4_1.dzn,.112547112,"Semaine 1: 1..4 5..8 9..12 13..16 17..20 21..24 25..28  ----------"
sgp_28_7_4_2.dzn,.667283435,"Semaine 1: 1..4 5..8 9..12 13..16 17..20 21..24 25..28  Semaine 2: {1,20,24,28} {4,11,23,27} {3,15,22,26} {2,5,21,25} {7,10,14,18} {8,12,16,17} {6,9,13,19}  ----------"
sgp_28_7_4_3.dzn,100.003931465,TIMEOUT
sgp_28_7_4_4.dzn,100.003810228,TIMEOUT
sgp_28_7_4_5.dzn,100.004102064,TIMEOUT
sgp_28_7_4_6.dzn,100.004152404,TIMEOUT
sgp_32_8_4_1.dzn,.123841736,"Semaine 1: 1..4 5..8 9..12 13..16 17..20 21..24 25..28 29..32  ----------"
sgp_32_8_4_2.dzn,.126472450,"Semaine 1: 1..4 5..8 9..12 13..16 17..20 21..24 25..28 29..32  Semaine 2: {1,24,28,32} {4,23,27,31} {3,22,26,30} {2,21,25,29} {8,12,16,20} {7,11,15,19} {6,10,14,18} {5,9,13,17}  ----------"
sgp_32_8_4_3.dzn,.137765525,"Semaine 1: 1..4 5..8 9..12 13..16 17..20 21..24 25..28 29..32  Semaine 2: {1,24,28,32} {4,23,27,31} {3,22,26,30} {2,21,25,29} {8,12,16,20} {7,11,15,19} {6,10,14,18} {5,9,13,17}  Semaine 3: {1,21,26,31} {4,22,25,32} {3,23,28,29} {2,24,27,30} {5,10,15,20} {6,9,16,19} {7,12,13,18} {8,11,14,17}  ----------"
