Instance,Temps(s),Resultat
sgp_15_5_3_1.dzn,.098651588,"Semaine 1: 1..3 4..6 7..9 10..12 13..15  ----------"
sgp_15_5_3_2.dzn,.101378028,"Semaine 1: 1..3 4..6 7..9 10..12 13..15  Semaine 2: {1,12,15} {3,8,14} {2,5,13} {4,7,11} {6,9,10}  ----------"
sgp_15_5_3_3.dzn,.137983363,"Semaine 1: 1..3 4..6 7..9 10..12 13..15  Semaine 2: {1,12,15} {3,8,14} {2,5,13} {4,7,10} {6,9,11}  Semaine 3: {1,7,14} {3,6,15} {2,8,12} {4,11,13} {5,9,10}  ----------"
sgp_15_5_3_4.dzn,.299415104,"Semaine 1: 1..3 4..6 7..9 10..12 13..15  Semaine 2: {1,12,15} {3,8,14} {2,5,13} {4,7,10} {6,9,11}  Semaine 3: {1,7,14} {3,6,15} {2,8,12} {4,11,13} {5,9,10}  Semaine 4: {1,8,13} {3,4,12} {2,9,15} {6,10,14} {5,7,11}  ----------"
sgp_15_5_3_5.dzn,.618152749,"Semaine 1: 1..3 4..6 7..9 10..12 13..15  Semaine 2: {1,12,15} {3,8,14} {2,4,13} {6,9,11} {5,7,10}  Semaine 3: {1,9,14} {3,5,15} {2,8,12} {6,10,13} {4,7,11}  Semaine 4: {1,8,13} {3,6,12} {2,7,15} {5,11,14} {4,9,10}  Semaine 5: {1,6,7} {3,11,13} {2,10,14} {4,8,15} {5,9,12}  ----------"
sgp_15_5_3_6.dzn,1.259239572,"Semaine 1: 1..3 4..6 7..9 10..12 13..15  Semaine 2: {1,12,15} {3,6,14} {2,7,13} {4,9,10} {5,8,11}  Semaine 3: {1,9,14} {3,8,15} {2,6,12} {4,11,13} {5,7,10}  Semaine 4: {1,5,13} {3,9,12} {2,4,15} {7,11,14} {6,8,10}  Semaine 5: {1,6,11} {3,4,7} {2,10,14} {5,9,15} {8,12,13}  Semaine 6: {1,4,8} {3,10,13} {2,9,11} {6,7,15} {5,12,14}  ----------"
sgp_15_5_3_7.dzn,2.425813360,"Semaine 1: 1..3 4..6 7..9 10..12 13..15  Semaine 2: {1,12,15} {3,8,14} {2,6,13} {5,7,10} {4,9,11}  Semaine 3: {1,4,14} {3,5,15} {2,7,11} {9,10,13} {6,8,12}  Semaine 4: {1,6,7} {3,9,12} {2,10,15} {5,11,14} {4,8,13}  Semaine 5: {1,8,10} {3,6,11} {2,9,14} {4,7,15} {5,12,13}  Semaine 6: {1,11,13} {3,4,10} {2,5,8} {6,9,15} {7,12,14}  Semaine 7: {1,5,9} {3,7,13} {2,4,12} {8,11,15} {6,10,14}  ----------"
sgp_24_6_4_1.dzn,.103195842,"Semaine 1: 1..4 5..8 9..12 13..16 17..20 21..24  ----------"
sgp_24_6_4_2.dzn,1.697291908,"Semaine 1: 1..4 5..8 9..12 13..16 17..20 21..24  Semaine 2: {1,13,20,24} {4,15,19,23} {3,8,12,22} {2,5,11,21} {7,10,14,17} {6,9,16,18}  ----------"
sgp_24_6_4_3.dzn,100.004176180,TIMEOUT
sgp_24_6_4_4.dzn,100.003822302,TIMEOUT
sgp_24_6_4_5.dzn,100.004637687,TIMEOUT
sgp_24_6_4_6.dzn,100.004203486,TIMEOUT
sgp_28_7_4_1.dzn,.107615706,"Semaine 1: 1..4 5..8 9..12 13..16 17..20 21..24 25..28  ----------"
sgp_28_7_4_2.dzn,.436192361,"Semaine 1: 1..4 5..8 9..12 13..16 17..20 21..24 25..28  Semaine 2: {1,20,24,28} {4,11,23,27} {3,7,22,26} {2,13,21,25} {5,10,16,19} {8,12,14,18} {6,9,15,17}  ----------"
sgp_28_7_4_3.dzn,100.004169789,TIMEOUT
sgp_28_7_4_4.dzn,100.003843342,TIMEOUT
sgp_28_7_4_5.dzn,100.004080075,TIMEOUT
sgp_28_7_4_6.dzn,100.004665034,TIMEOUT
sgp_32_8_4_1.dzn,.116927615,"Semaine 1: 1..4 5..8 9..12 13..16 17..20 21..24 25..28 29..32  ----------"
