Instance,Temps(s),Resultat
sgp_15_5_3_1.dzn,.102381747,"Semaine 1: 1..3 4..6 7..9 10..12 13..15  ----------"
sgp_15_5_3_2.dzn,.115053389,"Semaine 1: 1..3 4..6 7..9 10..12 13..15  Semaine 2: {9,10,13} {6,11,14} {3,12,15} {2,5,8} {1,4,7}  ----------"
sgp_15_5_3_3.dzn,.123579785,"Semaine 1: 1..3 4..6 7..9 10..12 13..15  Semaine 2: {9,11,13} {7,12,14} {3,6,15} {2,4,8} {1,5,10}  Semaine 3: {8,12,15} {6,10,13} {3,11,14} {2,5,9} {1,4,7}  ----------"
sgp_15_5_3_4.dzn,.161588184,"Semaine 1: 1..3 4..6 7..9 10..12 13..15  Semaine 2: {6,10,13} {5,12,14} {3,4,9} {2,7,11} {1,8,15}  Semaine 3: {6,9,11} {5,7,15} {3,10,14} {2,4,8} {1,12,13}  Semaine 4: {6,8,14} {5,9,10} {3,11,13} {2,12,15} {1,4,7}  ----------"
sgp_15_5_3_5.dzn,.293020627,"Semaine 1: 1..3 4..6 7..9 10..12 13..15  Semaine 2: {9,11,13} {6,8,15} {3,4,12} {2,5,7} {1,10,14}  Semaine 3: {9,10,15} {7,12,14} {3,5,13} {2,4,8} {1,6,11}  Semaine 4: {8,10,13} {5,12,15} {3,11,14} {2,6,9} {1,4,7}  Semaine 5: {6,12,13} {4,9,14} {3,7,10} {2,11,15} {1,5,8}  ----------"
sgp_15_5_3_6.dzn,35.654372329,"Semaine 1: 1..3 4..6 7..9 10..12 13..15  Semaine 2: {8,10,13} {5,12,15} {3,4,11} {2,6,7} {1,9,14}  Semaine 3: {7,11,13} {4,9,15} {3,8,14} {2,5,10} {1,6,12}  Semaine 4: {7,10,15} {4,12,14} {3,6,13} {2,9,11} {1,5,8}  Semaine 5: {6,10,14} {5,9,13} {3,7,12} {2,4,8} {1,11,15}  Semaine 6: {6,8,15} {5,11,14} {3,9,10} {2,12,13} {1,4,7}  ----------"
sgp_15_5_3_7.dzn,100.004384601,TIMEOUT
sgp_24_6_4_1.dzn,.132094347,"Semaine 1: 1..4 5..8 9..12 13..16 17..20 21..24  ----------"
sgp_24_6_4_2.dzn,.177738257,"Semaine 1: 1..4 5..8 9..12 13..16 17..20 21..24  Semaine 2: {11,15,17,21} {8,16,19,23} {4,12,18,22} {3,7,20,24} {2,6,10,14} {1,5,9,13}  ----------"
sgp_24_6_4_3.dzn,.267027172,"Semaine 1: 1..4 5..8 9..12 13..16 17..20 21..24  Semaine 2: {12,16,18,24} {8,10,19,21} {4,13,17,23} {3,7,9,14} {2,5,20,22} {1,6,11,15}  Semaine 3: {12,15,17,21} {11,16,19,23} {4,7,18,22} {3,8,20,24} {2,6,10,14} {1,5,9,13}  ----------"
sgp_24_6_4_4.dzn,.361589502,"Semaine 1: 1..4 5..8 9..12 13..16 17..20 21..24  Semaine 2: {12,16,17,22} {11,13,20,21} {4,8,14,23} {3,5,19,24} {2,7,10,18} {1,6,9,15}  Semaine 3: {12,14,18,21} {8,15,19,22} {4,7,11,24} {3,6,10,17} {2,5,9,13} {1,16,20,23}  Semaine 4: {11,15,17,23} {8,12,20,24} {4,13,18,22} {3,7,9,16} {2,6,19,21} {1,5,10,14}  ----------"
sgp_24_6_4_5.dzn,100.005608702,TIMEOUT
sgp_24_6_4_6.dzn,100.005859663,TIMEOUT
sgp_28_7_4_1.dzn,.144379948,"Semaine 1: 1..4 5..8 9..12 13..16 17..20 21..24 25..28  ----------"
sgp_28_7_4_2.dzn,.201931159,"Semaine 1: 1..4 5..8 9..12 13..16 17..20 21..24 25..28  Semaine 2: {16,17,21,25} {12,18,22,26} {8,19,23,27} {4,20,24,28} {3,7,11,15} {2,6,10,14} {1,5,9,13}  ----------"
sgp_28_7_4_3.dzn,.326005033,"Semaine 1: 1..4 5..8 9..12 13..16 17..20 21..24 25..28  Semaine 2: {16,17,21,25} {10,13,18,23} {8,20,24,26} {4,19,22,27} {3,7,9,14} {2,5,12,28} {1,6,11,15}  Semaine 3: {15,19,24,25} {12,17,22,26} {7,18,21,27} {4,20,23,28} {3,8,11,16} {2,6,10,14} {1,5,9,13}  ----------"
sgp_28_7_4_4.dzn,3.578520800,"Semaine 1: 1..4 5..8 9..12 13..16 17..20 21..24 25..28  Semaine 2: {16,18,21,25} {11,13,19,22} {8,14,24,27} {4,20,23,26} {3,5,12,28} {2,7,10,17} {1,6,9,15}  Semaine 3: {15,20,21,27} {12,17,23,25} {8,16,22,28} {4,7,11,14} {3,6,10,18} {2,5,9,13} {1,19,24,26}  Semaine 4: {15,19,23,28} {13,17,21,26} {11,20,24,25} {4,8,12,18} {3,7,9,16} {2,6,22,27} {1,5,10,14}  ----------"
sgp_28_7_4_5.dzn,7.940795611,"Semaine 1: 1..4 5..8 9..12 13..16 17..20 21..24 25..28  Semaine 2: {13,20,21,25} {10,18,23,26} {6,17,22,27} {4,5,12,15} {3,7,9,14} {2,19,24,28} {1,8,11,16}  Semaine 3: {13,19,22,26} {12,16,24,25} {8,14,21,28} {4,20,23,27} {3,5,11,18} {2,7,10,17} {1,6,9,15}  Semaine 4: {12,19,21,27} {11,14,20,22} {7,15,18,25} {4,8,24,26} {3,6,10,16} {2,5,9,13} {1,17,23,28}  Semaine 5: {12,18,22,28} {9,16,17,21} {8,19,23,25} {4,7,11,13} {3,15,24,27} {2,6,20,26} {1,5,10,14}  ----------"
sgp_28_7_4_6.dzn,100.007283440,TIMEOUT
sgp_32_8_4_1.dzn,.175149386,"Semaine 1: 1..4 5..8 9..12 13..16 17..20 21..24 25..28 29..32  ----------"
sgp_32_8_4_2.dzn,.246895252,"Semaine 1: 1..4 5..8 9..12 13..16 17..20 21..24 25..28 29..32  Semaine 2: {20,24,28,32} {19,23,27,31} {18,22,26,30} {17,21,25,29} {4,8,12,16} {3,7,11,15} {2,6,10,14} {1,5,9,13}  ----------"
sgp_32_8_4_3.dzn,.337669562,"Semaine 1: 1..4 5..8 9..12 13..16 17..20 21..24 25..28 29..32  Semaine 2: {20,24,25,31} {19,23,28,29} {18,21,26,30} {17,22,27,32} {4,8,10,13} {3,7,9,14} {2,5,12,16} {1,6,11,15}  Semaine 3: {20,23,27,30} {19,22,26,31} {18,24,28,32} {17,21,25,29} {4,7,12,15} {3,8,11,16} {2,6,10,14} {1,5,9,13}  ----------"
