Instance,Temps(s),Resultat
sgp_15_5_3_1.dzn,.089622410,"Semaine 1: 1..3 4..6 7..9 10..12 13..15  ----------"
sgp_15_5_3_2.dzn,.090483297,"Semaine 1: 1..3 4..6 7..9 10..12 13..15  Semaine 2: {9,11,13} {4,7,10} {3,12,14} {2,6,15} {1,5,8}  ----------"
sgp_15_5_3_3.dzn,.090501071,"Semaine 1: 1..3 4..6 7..9 10..12 13..15  Semaine 2: {6,10,14} {4,11,15} {3,8,13} {2,7,12} {1,5,9}  Semaine 3: {6,9,13} {5,8,10} {3,12,15} {2,11,14} {1,4,7}  ----------"
sgp_15_5_3_4.dzn,.093533487,"Semaine 1: 1..3 4..6 7..9 10..12 13..15  Semaine 2: {6,10,14} {4,11,15} {3,8,13} {2,7,12} {1,5,9}  Semaine 3: {6,9,13} {5,8,10} {3,12,15} {2,11,14} {1,4,7}  Semaine 4: {5,11,13} {4,9,12} {3,7,14} {2,10,15} {1,6,8}  ----------"
sgp_15_5_3_5.dzn,.097415988,"Semaine 1: 1..3 4..6 7..9 10..12 13..15  Semaine 2: {6,12,13} {5,11,15} {3,8,14} {2,7,10} {1,4,9}  Semaine 3: {6,9,11} {5,12,14} {3,10,15} {2,4,8} {1,7,13}  Semaine 4: {6,8,10} {5,9,13} {3,4,7} {2,12,15} {1,11,14}  Semaine 5: {6,7,15} {4,10,14} {3,9,12} {2,11,13} {1,5,8}  ----------"
sgp_15_5_3_6.dzn,.250830664,"Semaine 1: 1..3 4..6 7..9 10..12 13..15  Semaine 2: {7,10,13} {4,9,12} {3,8,11} {2,5,14} {1,6,15}  Semaine 3: {6,12,13} {4,8,14} {3,9,15} {2,7,11} {1,5,10}  Semaine 4: {6,9,11} {5,8,15} {3,10,14} {2,4,13} {1,7,12}  Semaine 5: {6,8,10} {5,9,13} {3,4,7} {2,12,15} {1,11,14}  Semaine 6: {6,7,14} {4,11,15} {3,5,12} {2,9,10} {1,8,13}  ----------"
sgp_15_5_3_7.dzn,100.004036382,TIMEOUT
sgp_24_6_4_1.dzn,.090989488,"Semaine 1: 1..4 5..8 9..12 13..16 17..20 21..24  ----------"
sgp_24_6_4_2.dzn,.097871671,"Semaine 1: 1..4 5..8 9..12 13..16 17..20 21..24  Semaine 2: {8,12,19,23} {7,11,20,24} {4,16,18,22} {3,6,10,14} {2,15,17,21} {1,5,9,13}  ----------"
sgp_24_6_4_3.dzn,.096269156,"Semaine 1: 1..4 5..8 9..12 13..16 17..20 21..24  Semaine 2: {7,11,13,18} {6,12,19,23} {4,9,14,21} {3,8,17,22} {2,5,10,15} {1,16,20,24}  Semaine 3: {7,10,14,17} {6,11,15,24} {4,8,20,23} {3,12,18,21} {2,16,19,22} {1,5,9,13}  ----------"
