model,instance,q,g,p,w,status,time_ms,solution
base.mzn,sgp_15_5_3_1.dzn,15,5,3,1,SAT,72,"Semaine 1: {13,14,15} {10,11,12} {7,8,9} {4,5,6} {1,2,3}"
base.mzn,sgp_15_5_3_2.dzn,15,5,3,2,SAT,102,"Semaine 1: {9,11,14} {6,10,13} {3,12,15} {2,5,8} {1,4,7} Semaine 2: {13,14,15} {10,11,12} {7,8,9} {4,5,6} {1,2,3}"
base.mzn,sgp_15_5_3_3.dzn,15,5,3,3,SAT,93,"Semaine 1: {8,12,13} {7,11,15} {3,6,14} {2,4,10} {1,5,9} Semaine 2: {9,11,14} {6,10,13} {3,12,15} {2,5,8} {1,4,7} Semaine 3: {13,14,15} {10,11,12} {7,8,9} {4,5,6} {1,2,3}"
base.mzn,sgp_15_5_3_4.dzn,15,5,3,4,SAT,95,"Semaine 1: {5,10,14} {4,9,15} {3,11,13} {2,7,12} {1,6,8} Semaine 2: {8,12,13} {7,11,15} {3,6,14} {2,4,10} {1,5,9} Semaine 3: {9,11,14} {6,10,13} {3,12,15} {2,5,8} {1,4,7} Semaine 4: {13,14,15} {10,11,12} {7,8,9} {4,5,6} {1,2,3}"
base.mzn,sgp_15_5_3_5.dzn,15,5,3,5,SAT,97,"Semaine 1: {5,7,14} {4,12,13} {3,8,11} {2,6,9} {1,10,15} Semaine 2: {5,11,13} {4,9,15} {3,10,14} {2,7,12} {1,6,8} Semaine 3: {8,12,14} {7,11,15} {3,6,13} {2,4,10} {1,5,9} Semaine 4: {9,10,13} {6,11,14} {3,12,15} {2,5,8} {1,4,7} Semaine 5: {13,14,15} {10,11,12} {7,8,9} {4,5,6} {1,2,3}"
base.mzn,sgp_15_5_3_6.dzn,15,5,3,6,UNKNOWN,147000,
base.mzn,sgp_15_5_3_7.dzn,15,5,3,7,UNKNOWN,156000,
base.mzn,sgp_24_6_4_1.dzn,24,6,4,1,SAT,118,"Semaine 1: {21,22,23,24} {17,18,19,20} {13,14,15,16} {9,10,11,12} {5,6,7,8} {1,2,3,4}"
base.mzn,sgp_24_6_4_2.dzn,24,6,4,2,SAT,155,"Semaine 1: {11,15,17,21} {4,8,19,23} {12,16,18,22} {3,7,20,24} {2,6,10,14} {1,5,9,13} Semaine 2: {21,22,23,24} {17,18,19,20} {13,14,15,16} {9,10,11,12} {5,6,7,8} {1,2,3,4}"
base.mzn,sgp_24_6_4_3.dzn,24,6,4,3,SAT,256,"Semaine 1: {10,13,20,23} {9,14,19,24} {4,7,17,22} {3,8,18,21} {2,5,12,15} {1,6,11,16} Semaine 2: {11,15,17,21} {4,8,19,23} {12,16,18,22} {3,7,20,24} {2,6,10,14} {1,5,9,13} Semaine 3: {21,22,23,24} {17,18,19,20} {13,14,15,16} {9,10,11,12} {5,6,7,8} {1,2,3,4}"
